description,type,price,size,bedrooms,parking_spaces,bathrooms,modo
"Qe 46 Área Especial Edifício Valentina, Guará Ii · Brasília",Studio,3.698,30 m²,1 quarto,1 vaga,,
"Águas Claras Brasília - Df 71929-540 Brasil, Aguas Claras · Brasília",apartamento,4.124,40 m²,1 quarto,1 vaga,,
"Rua das Figueiras, Norte (águas Claras) · Brasília",Apartamento,3.170,36 m²,1 quarto,1 vaga,,
"Qse 1, Taguatinga Sul (taguatinga) · Brasília",Studio,2.538,35 m²,1 quarto,0 vaga,,
"Qr 406 Conjunto 21 A, Samambaia Norte (samambaia) · Brasília",Apartamento,2.437,60 m²,3 quartos,1 vaga,,
"Sces Trecho 4, Asa Sul · Brasília",Apartamento,1.182,40 m²,1 quarto,0 vaga,,
"Rua Cnd, Taguatinga · Brasília",apartamento,1.848,108 m²,1 quarto,1 vaga,,
"Colônia Agrícola Samambaia Vicente Pires Lote 14 - Asa Sul, Asa Sul · Brasília",Studio,4.470,20 m²,1 quarto,0 vaga,,
"Rua Copaíba Lote 01, Sul (águas Claras) · Brasília",apartamento,2.477,57 m²,2 quartos,2 vagas,,
"Csb 8, Taguatinga Sul (taguatinga) · Brasília",Apartamento,521,68 m²,2 quartos,0 vaga,,
"Sria Ii Pólo de Moda Rua 24, Guará Ii · Brasília",,4.820,50 m²,1 quarto,0 vaga,,
"Clnw 1011, Setor Noroeste · Brasília",Apartamento,2.133,52 m²,1 quarto,1 vaga,,
"Shcnw Sqnw - Brasília Df Brasil, Setor Noroeste · Brasília",Studio,1.485,35 m²,1 quarto,1 vaga,,
"Rua 24, Norte (águas Claras) · Brasília",Apartamento,4.095,61 m²,1 quarto,1 vaga,,
"Rua 28, Norte (águas Claras) · Brasília",apartamento,2.962,171 m²,3 quartos,3 vagas,,
"Setor de Indústrias Gráficas, Centro · Brasília",Apartamento,3.058,53 m²,1 quarto,1 vaga,,
"Cln 314 Bloco D, Asa Norte · Brasília",Studio,7.536,34 m²,1 quarto,0 vaga,,
"Avenida Sibipiruna, Agua Claras · Brasília",Apartamento,1.144,45 m²,2 quartos,1 vaga,,
"Cln 207 Bloco A Asa Norte, Asa Norte · Brasília",studio,1.763,34 m²,1 quarto,0 vaga,,
"Rua das Carnaúbas, Águas Claras · Brasília",Apartamento,3.118,63 m²,2 quartos,1 vaga,,
"St. Mansães Taguatinga Qsc 19 Conjuto A Lote 32 Casa 4 - Taguatinga Brasília - Df 72001-305 Brasil, Setor Habitacional Samambaia (taguatinga) · Brasília",Casa,1.678,40 m²,2 quartos,1 vaga,,
"Rua 24 Norte, Aguas Claras · Brasília",Apartamento,3.802,55 m²,1 quarto,1 vaga,,
"Setor L Norte Qnl 17 Conjunto B C D, Taguatinga Norte · Brasília",Casa,1.108,60 m²,3 quartos,1 vaga,,
"Qe 40 Rua 22 Lote A, Guará Ii · Brasília",Apartamento,3.611,45 m²,1 quarto,0 vaga,,
"Qe 40 Conjunto Q, Guará Ii · Brasília",Apartamento,1.678,98 m²,2 quartos,0 vaga,,
"St. Hab. Vicente Pires - Rua 4, Setor Habitacional Vicente Pires (taguatinga) · Brasília",Casa,1.207,90 m²,2 quartos,1 vaga,,
"Cln 313, Asa Norte · Brasília",Studio,2.590,40 m²,1 quarto,0 vaga,,
"Qnd, Taguatinga Norte (taguatinga) · Brasília",Casa,1.738,178 m²,5 quartos,3 vagas,,
"Qe 40 Conjunto I, Guará Ii · Brasília",Apartamento,2.976,57 m²,2 quartos,0 vaga,,
"Cnb 6, Cnb 6 · Brasília",Apartamento,4.817,59 m²,2 quartos,0 vaga,,
"Qelc1 Bloco A1 Apto 302 Guará L, Quadras Econômicas Lúcio Costa (guará) · Brasília",Apartamento,1.618,58 m²,2 quartos,1 vaga,,
"Quadra Qne 27, Qne 27 · Brasília",Apartamento,3.010,75 m²,3 quartos,0 vaga,,
"St. de Habitações Individuais Sul Qi 29 - Lago Sul Brasília - Df Brasil, Qi 29 · Brasília",Casa,2.490,620 m²,4 quartos,2 vagas,,
"Srpn Sqnw Clnw 1011 Bloco F - Brasília Df Brasil, Sqnw · Brasília",Studio,1.569,36 m²,1 quarto,1 vaga,,
"Alameda Gravatá Quadra 301, Norte (águas Claras) · Brasília",Apartamento,9.178,56 m²,2 quartos,1 vaga,,
"Smas, Zona Industrial (guará) · Brasília",Apartamento,2.961,44 m²,1 quarto,1 vaga,,
"Estância Quintas da Alvorada, Setor Habitacional Jardim Botânico (lago Sul) · Brasília",Casa,3.979,350 m²,3 quartos,3 vagas,,
"Qro Conjunto Comercial Lote,  Candangolândia · Brasília",apartamento,3.474,45 m²,1 quarto,0 vaga,,
"Rua 3 Chacara 81 Lote 14, Setor Habitacional Vicente Pires (taguatinga) · Brasília",Apartamento,6.708,30 m²,1 quarto,0 vaga,,
"Avenida Sibipiruna, Águas Claras · Brasília",Apartamento,2.883,55 m²,2 quartos,1 vaga,,
"Setor Sig Conjunto D, Taguatinga Norte (taguatinga) · Brasília",Apartamento,2.440,52 m²,2 quartos,1 vaga,,
"Setor Shtn, Asa Norte · Brasília",apartamento,4.238,60 m²,1 quarto,1 vaga,,
"Rua 37 Norte, Águas Claras · Brasília",apartamento,1.705,57 m²,2 quartos,1 vaga,,
"Crnw 510 Bloco B Lote 3 E 4, Setor Noroeste · Brasília",Apartamento,5.525,33 m²,1 quarto,1 vaga,,
"Sqnw 106 Bloco G Noroeste, Cruzeiro Novo · Brasília",Apartamento,3.963,77 m²,2 quartos,2 vagas,,
"Quadra Shis Qi 23 Conjunto 3, Lago Sul · Brasília",Casa,3.936,453 m²,7 quartos,3 vagas,,
"Chácara 286 Rua 4b - St. Hab. Vicente Pires - Taguatinga Brasília - Df Brasil, Setor Habitacional Vicente Pires (taguatinga) · Brasília",apartamento,7.228,47 m²,2 quartos,1 vaga,,
"Qsc 19 Chácara 28b Conjunto 01 Lote 09 B, Taguatinga Sul (Taguatinga) · Brasília",casa,20.170,430 m²,5 quartos,4 vagas,,
"Setor F Sul Qsf 9, Taguatinga · Brasília",Casa,2.628,169 m²,2 quartos,3 vagas,,
"Scrn, Asa Norte · Brasília",apartamento,4.323,27 m²,1 quarto,0 vaga,,
"Rua Copaíba, Norte (águas Claras) · Brasília",Apartamento,2.955,44 m²,1 quarto,1 vaga,,
"10 - Guará Ii Qe 38 - Guará Brasília - Df 71070-080 Brasil, Qe 38 · Brasília",Apartamento,1.719,105 m²,2 quartos,0 vaga,,
"Chácara Gemetris, Setor Habitacional Samambaia (taguatinga) · Brasília",apartamento,3.706,65 m²,2 quartos,0 vaga,,
"Setor L Norte Qnl 1, Taguatinga · Brasília",Casa,3.364,165 m²,2 quartos,2 vagas,,
"Qi Qd 3, Setor Industrial (taguatinga) · Brasília",apartamento,1.949,55 m²,2 quartos,1 vaga,,
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",Studio,2.936,25 m²,1 quarto,0 vaga,,
"Sgan 914 Módulo H, Asa Norte · Brasília",Apartamento,1.979,33 m²,1 quarto,1 vaga,,
"Cln 313, Cln 313 · Brasília",,887,23 m²,,0 vaga,,
"0 - Qr 406 - Samambaia Brasília - Df 72318-200 Brasil, Qr 406 · Brasília",apartamento,1.753,57 m²,2 quartos,1 vaga,,
"Quadra Sqsw 103, Superquadra Sudoeste 103 · Brasília",Apartamento,1.748,118 m²,1 quarto,1 vaga,,
"Rua 37 Sul, Aguas Claras · Brasília",apartamento,1.790,62 m²,2 quartos,1 vaga,,
"Shces Quadra 203, Qd 203 · Brasília",Apartamento,7.095,68 m²,3 quartos,0 vaga,,
"Avenida Pau Brasil, Águas Claras · Brasília",apartamento,3.400,68 m²,3 quartos,1 vaga,,
"Shdb Ql 32 Conj 2 Casa, Setor de Habitações Individuais Sul · Brasília",Casa,3.052,600 m²,4 quartos,2 vagas,,
"Csb 2 Lote 05, Taguatinga Sul (taguatinga) · Brasília",Apartamento,3.330,65 m²,3 quartos,0 vaga,,
"Shtn Trecho 1, Asa Norte · Brasília",Apartamento,11.500,53 m²,1 quarto,1 vaga,,
"Rua 19 Norte, Águas Claras · Brasília",Apartamento,3.130,64 m²,2 quartos,1 vaga,,
"37 - St. E Norte Qne 8 - Taguatinga Brasília - Df 72125-080 Brasil, Taguatinga Norte (taguatinga) · Brasília",Casa,5.743,162 m²,3 quartos,2 vagas,,
"Rua 30 Norte Lote, Norte (águas Claras) · Brasília",Apartamento,4.853,56 m²,2 quartos,1 vaga,,
"Quadra 2 Conjunto 11, Setor Habitacional Taquari (lago Norte) · Brasília",Casa,6.460,110 m²,2 quartos,2 vagas,,
"Qsc 19 Chácara 26 Conjunto C, Taguatinga Sul (taguatinga) · Brasília",Studio,3.518,25 m²,1 quarto,0 vaga,,
"Rua 25 Sul, Sul (águas Claras) · Brasília",Apartamento,3.051,34 m²,1 quarto,1 vaga,,
"Sha Conjunto 6 Chácara 26, Colônia Agrícola Vereda da Cruz · Brasília",Casa,887,340 m²,5 quartos,2 vagas,,
"St. Sudoeste Qmsw 6 - St. Sudoeste Brasília - Df 70680-600 Brasil, Qmsw 6 · Brasília",studio,2.580,35 m²,1 quarto,0 vaga,,
"Quadra Qse 2, Qse 2 · Brasília",Apartamento,6.848,150 m²,4 quartos,1 vaga,,
"Quadra Shis Qi 29 Conjunto 11, Qi 29 · Brasília",Casa,3.973,650 m²,5 quartos,6 vagas,,
"Quadra 3 Conjunto 4, Setor Habitacional Vicente Pires · Brasília",casa,2.353,300 m²,3 quartos,2 vagas,,
"Estância Quintas da Alvorada - Paranoá Brasília - Df 71680-389 Brasil, Estância Quintas da Alvorada · Brasília",apartamento,18.100,160 m²,3 quartos,5 vagas,,
